Page,MANUFACTURER_AND_DISTRIBUTOR,Date_Released,Date_Available,NAME_OF_DEVICE,DESCRIPTION,MATERIALS,GENERAL_USE,SPECIFIC_INDICATIONS,SPECIFIC_FEATURES,SIZES_AVAILABLE,INSTRUMENTATION,SPECIAL_REMARKS,REFERENCES_,SPECIAL_FEATURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BIOMET,1984,,Mallory-Head Primary,,Forged titanium alloy,Non-cemented use,,,6mm-19mm in 1mm increments,Mallory-Head press-fit instruments,,,3° tapered stem incorporating proximal A/P and lateral finned geometry  Proximal 1/3 plasma spray porous coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BIOMET,1984,,Taperloc Porous Primary,,Forged titanium alloy,Non-cemented use,,,7.5mm-22.5mm in 2.5mm increments,Taperloc instruments,,,"Tapered, flute wedge shaped femoral component   Proximal 1/2 plasma spray porous coating   Lateralized offset option Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BIOMET,1988,,Integral Porous Primary,,Forged titanium alloy,Non-cemented use,,,7Mmm-19mm in one mm increments,Alliance instruments,,,3° tapered stem with reduced proximal profile options Available   Proximal 1/3 plasma spray porous coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DEPUY,1977,,AML® Total Hip System,"?�Anatomic Medullary Locking??total hip system with Porocoat® porous coating   A modular femoral stem with Porocoat® porous coating over proximal 1/3"" or 5/8"" of stem",Cobalt chrome alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,"A painful and/or disabled joint resulting from osteoarthritis, rheumatoid arthritis, traumatic arthritis Avascular necrosis of the femoral head Failed previous surgery Certain cases of ankylosis","20-year clinical survivorship  Choice of two proximal triangles   Choice of Porocoat® porous coating  Lengths (1/3, 5/8)",Standard triangle 10.5-19.5  Modified medial aspect (MMA) 10.5-19.5 Stem length 165mm,Excel??instruments,FDA approved for cementless use 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DEPUY,1992,,Prodigy??Total Hip System,"A fully porous coated, parallel sided implant which addresses anatomical concerns and stem stiffness  Configuration similar to AML",Cobalt chrome alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,"A painful and/or disabled joint resulting from osteoarthritis, rheumatoid arthritis, traumatic arthritis Avascular necrosis or the femoral head Failed previous surgery Certain cases of ankylosis","10° anteversion   Redux??groove (patented stiffness relief area) reduces stem rigidity   Choice of 3 proximal geometries; (small, large, X-large stature)  Tapered distal tip to minimize potential for thigh pain",Small stature 10.5/19.5mm; 170mm length (shoulder to tip) Large stature 10.5/19.5mm; 180mm length (shoulder to tip) X-large stature 15.0/18.0mm; 190mm length (shoulder to tip),The Excel instruments in conjunction with Prodigy neck segments   Prodigy Stem impactor,Marketed since 1992 FDA cleared for cementless fixation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEPUY," January, 1995",,Replica??Total Hip System,"A proximal coated straight stem with 10 degrees of anteversion, a gradual anterior build up to distribute torsional and axial stresses with distal flutes and coronal slot to allow for constant stem tip deflection",Cobalt chrome alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,"A painful and/or disabled joint resulting from osteoarthritis, rheumatoid arthritis, traumatic arthritis Avascular necrosis of the femoral head Failed previous surgery Certain cases of ankylosis",10° of anteversion  Choice of 3 metaphyseal triangles Proxhmal anterior buildup  Porous coating level meets metaphyseal/diaphyseal junction Distal proud flutes for rotational stability  Distal coronal slot to reduce stem stiffness  Tapered distal tip,Small stature 10.5/18.0mm; 170mm length (shoulder to tip) Large stature 10.5/18.0mm; 180mm length (shoulder to tip)  X-large stature 15.0/16.5mm; 190mm length (shoulder to tip),"Utilizes Excel??instruments in conjunction with Prodigy neck segments, stem impactor","General release January, 1995 FDA cleared for cementless fixation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,DEPUY,1990,,Solution System® Total Hip System,"Based off the AML® design, the solution system offers 6, 7, 8, 9 & 10 inch length implants to address femoral deficiencies.",Cobalt chrome alloy,Revision total hip arthroplasty,Revision total hip arthroplasty,"Available in 6, 7, 8, 9 & 10 inch lengths to address majority of revision indications  Relies on distal fixation (AML® design)","76 sizes Available  6"" standard, MMA 10.5/22.5  7"" 1.5cm calcar 12.0/19.5  8"" standard, MMA 10.5/22.5   8"" bowed standard 13.5/21.0  9"" 2.25cm bowed calcar 13.5/19.5  10"" bowed standard 13.5/22.5  Bowed stems offer 15° of anteversion, which is built into the proximal body",Moreland removal instruments Available (cemented or cementless)  Allogrip/Lere® bone mill Available for Auto/Allograft indications Excel instruments in conjunction with the solution femoral instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DEPUY,1986,,HPS II® Total Hip System (horizontal platform supported),,Cobalt chrome alloy,Surgeons who prefer cementless fixation in primary total hip arthroplasty,"A painful and/or disabled joint resulting from osteoarthritis, rheumatoid arthritis, traumatic arthritis Avascular necrosis of the femoral head Failed previous surgery Certain cases of ankylosis",,10 sizes Available Stem lengths 140/205mm Sizes??1 155mm 2 165mm 3 180mm; 3 sh 140mm 4 190mm; 4 sh 145mm 5 205mm; 5 sh 150mm 6 205mm; 6 sh 155mm,"HPSII instruments, one case only",,,A standard (size 1/6) and short (size 3/6) implant length  Cobalt chrome alloy material with proximal Porocoat® porous coating  Articul/eze??12/14 taper  20° collar angle to stress cortical arc  Lateral fin for rotational stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DEPUY," Modular Head, 1996; Flxed Head, 1986",,Tri-Lock®/Dual-Lock®,,Cobalt chrome alloy,Uncemented primary - Tri-lock  Cemented primary - Dual-lock,,,7 sizes Available Stem diameters 7.5-22.5 Stem lengths 137-167mm,Broach only system  Same instruments for cementless and cemented versions,,"Hughes, S.S. and Pellegrini, V.D. Atrophy of the Proximal Part of the Femur after THA without Cement, JBJS, Vol. 77-A No. 2, pp. 231-239, February, 1995.",".375mm press fit in the porous coated area   Line to line fit in the area without porous coating Standard and lateral offsets with 9mm difference Collarless, Articul/eze??taper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DEPUY,1988,,Gemini Total Hip System,,Titanium alloy,Primary cementless/cemented,,,8 sizes Available,Utilizes Excel??instruments  Separate broach system,,,"Medial lateral, anterior posterior geometry design optimally fits/fills the proximal femur  Anatomic neck stem geometry reproduces normal hip biomechanics  Articul/eze??taper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
